method,saved_episode,test_seed,step,reward,success,latency_ms,energy_mJ,selected_agent,selected_cpu_fraction,selected_bandwidth_fraction,mean_cpu_fraction,mean_bandwidth_fraction,selection_score_gap,selection_entropy,low_resource_action,near_saturated_resource
MADDPG Seed 42,30,970000,0,1.1707192810574163,1,620.8493079594219,10154.622467807572,uav_U1,0.9999997615814209,0.9999996423721313,0.7148141860961914,0.709183394908905,0.00021904706954956055,0.9550003642755821,0,1
MADDPG Seed 42,30,970000,1,-3.665823099216442,0,856.8120834479075,14421.335985071672,uav_U1,0.9999997615814209,0.9999995231628418,0.7946929931640625,0.6886632442474365,0.00010502338409423828,0.9564721368904838,0,1
MADDPG Seed 42,30,970000,2,0.8945537790256413,1,503.04918099378415,10905.288470750103,uav_U1,1.0,0.9999998807907104,0.7319862246513367,0.7052231431007385,0.00022476911544799805,0.9554481915275485,0,1
MADDPG Seed 42,30,970000,3,-6.054003738732619,0,3383.3239397031934,100677.39011072688,uav_U1,1.0,1.0,0.6253940463066101,0.6138886213302612,7.128715515136719e-05,0.9641738337294459,0,1
MADDPG Seed 42,30,970000,4,1.0959462122026693,1,536.8649929915482,12095.921414465169,uav_U1,0.9999998807907104,0.9999998807907104,0.8484923243522644,0.709723949432373,0.00047647953033447266,0.9597094360888025,0,1
MADDPG Seed 42,30,970000,5,1.154314542056751,1,436.4842213218667,8502.27700805697,uav_U1,0.9999998807907104,0.9999997615814209,0.8004833459854126,0.7861777544021606,0.0004935264587402344,0.955660145836167,0,1
MADDPG Seed 42,30,970000,6,-3.940383668959435,0,1101.8227796406984,13244.819521014844,uav_U1,1.0,0.9999998807907104,0.6423935890197754,0.7620807886123657,1.4066696166992188e-05,0.9577710947808695,0,1
MADDPG Seed 42,30,970000,7,1.1590169205412628,1,512.0176719729616,6427.368356462801,uav_U1,1.0,0.9999998807907104,0.7020584344863892,0.7911001443862915,0.00022858381271362305,0.9558194998571558,0,1
MADDPG Seed 42,30,970000,8,-4.599890651330696,0,1549.6514411768605,65693.05139491615,uav_U1,1.0,1.0,0.6143217086791992,0.788227379322052,8.499622344970703e-05,0.9641346941453434,0,1
MADDPG Seed 42,30,970000,9,-5.159818130683931,0,5016.24268960678,71146.82116386887,uav_U1,1.0,0.9999998807907104,0.6003694534301758,0.66341233253479,2.0384788513183594e-05,0.9665684928869548,0,1
MADDPG Seed 42,30,970000,10,-7.5000928899128905,0,2855.277649014581,24839.857629963255,uav_U1,1.0,0.9999998807907104,0.5899567008018494,0.6845384240150452,1.3470649719238281e-05,0.9663991986541305,0,1
MADDPG Seed 42,30,970000,11,-4.135700750039556,0,729.481374685406,13304.070063041276,uav_U1,0.9999998807907104,0.9999997615814209,0.7595742344856262,0.8109100461006165,0.00042694807052612305,0.9544997296482394,0,1
