test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,method,saved_episode
950000,-281.67940909654436,0.39,1773.4639557712103,20222.89224202728,CA-MADDPG Seed 42 best,10
950001,-297.22559249442315,0.37,1831.6014331972592,19521.5064472246,CA-MADDPG Seed 42 best,10
950002,-206.25736543255152,0.5,1537.5938557978704,16172.452240468096,CA-MADDPG Seed 42 best,10
950003,-232.15776415798447,0.49,1898.6906206902217,18151.562359219835,CA-MADDPG Seed 42 best,10
950004,-251.5889032043664,0.46,2087.365430027457,26731.48046295877,CA-MADDPG Seed 42 best,10
950005,-289.19906785529463,0.42,2146.1397420088856,27627.403466700776,CA-MADDPG Seed 42 best,10
950006,-258.4716370926967,0.46,2202.752309039012,27504.183809491224,CA-MADDPG Seed 42 best,10
950007,-173.55451108050485,0.55,1593.0240234063024,18649.556168186136,CA-MADDPG Seed 42 best,10
950008,-290.0214820003004,0.39,2265.5697197247773,25082.809614792615,CA-MADDPG Seed 42 best,10
950009,-212.3381289481053,0.52,1998.682520693675,23298.32555700488,CA-MADDPG Seed 42 best,10
950010,-219.19491198827126,0.51,1755.7670877058524,19403.227561545198,CA-MADDPG Seed 42 best,10
950011,-224.12328491872168,0.49,1918.517788702277,22863.10356330903,CA-MADDPG Seed 42 best,10
950012,-274.42055276063286,0.41,1992.2806912869044,20905.625827007007,CA-MADDPG Seed 42 best,10
950013,-247.68412676350766,0.44,1845.9294007608723,21370.144595887727,CA-MADDPG Seed 42 best,10
950014,-164.5475027736212,0.6,1796.166826233569,18861.75474268989,CA-MADDPG Seed 42 best,10
950015,-250.41337832702175,0.48,1976.456997571566,22718.498231127593,CA-MADDPG Seed 42 best,10
950016,-288.50063759244716,0.38,1825.1641795397597,19490.122656392912,CA-MADDPG Seed 42 best,10
950017,-282.1825901045292,0.41,2320.178771910383,25874.69857827172,CA-MADDPG Seed 42 best,10
950018,-236.60565405778374,0.46,1657.7303674603938,16882.31256782927,CA-MADDPG Seed 42 best,10
950019,-248.66396310115098,0.47,2053.8557077375417,24454.3562118985,CA-MADDPG Seed 42 best,10
950020,-213.4569747331307,0.48,1531.1950133186494,16991.512342565296,CA-MADDPG Seed 42 best,10
950021,-219.52497034737422,0.49,1741.6489004052883,22096.45699249587,CA-MADDPG Seed 42 best,10
950022,-237.28228667459283,0.45,1729.3510994394805,16539.649620226628,CA-MADDPG Seed 42 best,10
950023,-245.4165862861803,0.44,2390.9991650730644,27682.754267731445,CA-MADDPG Seed 42 best,10
950024,-228.04316466023687,0.48,1818.2291689459564,18184.777746873107,CA-MADDPG Seed 42 best,10
950025,-277.12986777376267,0.41,2042.97020309214,22680.167119234648,CA-MADDPG Seed 42 best,10
950026,-293.44663874271066,0.41,2207.8669021339183,27259.151189448945,CA-MADDPG Seed 42 best,10
950027,-294.62636529418074,0.38,1883.961996392265,20242.146290471144,CA-MADDPG Seed 42 best,10
950028,-290.864343297013,0.37,2182.402129342048,23418.1270108817,CA-MADDPG Seed 42 best,10
950029,-304.48762032243366,0.39,2011.0330949889594,22063.183808778827,CA-MADDPG Seed 42 best,10
950030,-251.6486223401715,0.44,1811.3023963569142,21701.30499322303,CA-MADDPG Seed 42 best,10
950031,-283.6769064930997,0.43,2034.35776860454,22372.731120864777,CA-MADDPG Seed 42 best,10
950032,-294.2377814154549,0.37,1844.1980542902313,19561.324469351515,CA-MADDPG Seed 42 best,10
950033,-234.02404604005056,0.49,2067.7068788350966,21730.62528406148,CA-MADDPG Seed 42 best,10
950034,-269.4169092717351,0.43,2088.8064386334668,24165.935820993713,CA-MADDPG Seed 42 best,10
950035,-267.247765281609,0.44,2045.19276418094,24774.770438896165,CA-MADDPG Seed 42 best,10
950036,-272.9366170127968,0.42,2003.5407549283036,23895.95684912777,CA-MADDPG Seed 42 best,10
950037,-267.0992563921363,0.42,2081.2067141219486,22796.840605346722,CA-MADDPG Seed 42 best,10
950038,-180.91757405711476,0.57,1609.311145034671,20383.01287640916,CA-MADDPG Seed 42 best,10
950039,-221.77648783655823,0.47,1737.3322710473333,19231.51004982202,CA-MADDPG Seed 42 best,10
950040,-198.63353638161837,0.51,1749.0281099481817,18938.088243108552,CA-MADDPG Seed 42 best,10
950041,-304.63890397735116,0.35,2202.661966772615,23488.40303969468,CA-MADDPG Seed 42 best,10
950042,-235.79191969769067,0.49,1989.7752907492427,23853.763518302203,CA-MADDPG Seed 42 best,10
950043,-196.7131793745004,0.52,1897.7463834782,21524.56496720517,CA-MADDPG Seed 42 best,10
950044,-203.87685842817714,0.52,1705.467344503901,21367.85076570829,CA-MADDPG Seed 42 best,10
950045,-255.07044566564105,0.43,1931.7758119131738,24169.47231983638,CA-MADDPG Seed 42 best,10
950046,-257.4077927456712,0.45,1943.9276339041735,22736.319572820008,CA-MADDPG Seed 42 best,10
950047,-290.6583766450183,0.38,1757.5268579865217,17296.06437688525,CA-MADDPG Seed 42 best,10
950048,-307.87130723186914,0.38,2412.6761865245803,28317.542830318846,CA-MADDPG Seed 42 best,10
950049,-280.2520647594836,0.38,2171.633558531369,22719.38872595166,CA-MADDPG Seed 42 best,10
950050,-277.2743597176425,0.44,2549.155588142991,33949.04619175429,CA-MADDPG Seed 42 best,10
950051,-312.6201557377359,0.36,2354.173627343104,24104.71690361252,CA-MADDPG Seed 42 best,10
950052,-234.65677442067644,0.5,1782.4982835736746,18329.36099989289,CA-MADDPG Seed 42 best,10
950053,-297.973457202368,0.41,2327.434825966289,28425.520309284013,CA-MADDPG Seed 42 best,10
950054,-265.9055962746766,0.43,2085.4672374220654,21708.1938291387,CA-MADDPG Seed 42 best,10
950055,-274.71801965951397,0.42,2065.2350864825553,25398.784787597084,CA-MADDPG Seed 42 best,10
950056,-262.30046758041726,0.43,1999.1571992207046,21233.88532933817,CA-MADDPG Seed 42 best,10
950057,-212.12649513585575,0.53,1852.6989433720373,19862.810915762886,CA-MADDPG Seed 42 best,10
950058,-311.98295921725645,0.39,2439.8869516508644,29377.116472130296,CA-MADDPG Seed 42 best,10
950059,-233.15863893537247,0.47,2086.9316067318646,21339.32327195099,CA-MADDPG Seed 42 best,10
950060,-236.61276439799587,0.48,1925.1572851571316,20055.174022302926,CA-MADDPG Seed 42 best,10
950061,-254.6420001322953,0.46,2065.2441909387935,24592.444267221144,CA-MADDPG Seed 42 best,10
950062,-221.449175331849,0.5,1830.9163292966705,23068.849679137395,CA-MADDPG Seed 42 best,10
950063,-309.2548566745708,0.39,2598.601391954513,32038.114511861433,CA-MADDPG Seed 42 best,10
950064,-297.15537631962184,0.37,2006.0032824919515,23456.194358194312,CA-MADDPG Seed 42 best,10
950065,-257.7414365696786,0.44,1847.4362899123778,19098.169134045194,CA-MADDPG Seed 42 best,10
950066,-236.56978469561167,0.46,1914.3852728778663,21530.608614137716,CA-MADDPG Seed 42 best,10
950067,-265.7940243172384,0.45,2188.9316951985484,22435.959198683893,CA-MADDPG Seed 42 best,10
950068,-290.4578837788552,0.39,2729.6692129648054,29993.491060385128,CA-MADDPG Seed 42 best,10
950069,-213.86658160650003,0.49,1790.4917549551176,21504.083535811184,CA-MADDPG Seed 42 best,10
950070,-251.0351236926144,0.44,1969.7099634789483,20329.416287565196,CA-MADDPG Seed 42 best,10
950071,-163.69015521002567,0.58,1552.0192011673132,21220.971632851637,CA-MADDPG Seed 42 best,10
950072,-257.28463621903245,0.45,2128.567060115086,25756.490664283647,CA-MADDPG Seed 42 best,10
950073,-264.46937458577503,0.42,2100.4444751698866,20674.90235791933,CA-MADDPG Seed 42 best,10
950074,-170.42864870776853,0.6,1748.5669868516404,18293.29094951775,CA-MADDPG Seed 42 best,10
950075,-218.98326111002487,0.51,1768.1420476578146,19433.82819412098,CA-MADDPG Seed 42 best,10
950076,-232.75600120246006,0.48,1706.102055400875,17691.767101855465,CA-MADDPG Seed 42 best,10
950077,-233.34285757321197,0.47,1894.700161592907,21255.57539001865,CA-MADDPG Seed 42 best,10
950078,-281.66618215062863,0.41,2097.954085150756,22986.68766069635,CA-MADDPG Seed 42 best,10
950079,-214.07185079046627,0.49,1573.427805905824,16688.32815923972,CA-MADDPG Seed 42 best,10
950080,-312.22039107119423,0.39,2330.8588329549307,28499.111034051908,CA-MADDPG Seed 42 best,10
950081,-256.62122733783406,0.45,1993.7122176688647,22392.841760100397,CA-MADDPG Seed 42 best,10
950082,-186.17876819151118,0.54,1764.8704322904905,20512.524549792408,CA-MADDPG Seed 42 best,10
950083,-286.76561490564245,0.4,1836.3556039324149,21999.504340254865,CA-MADDPG Seed 42 best,10
950084,-220.20599395098878,0.47,1994.2492841403482,22176.849517043807,CA-MADDPG Seed 42 best,10
950085,-225.0039589803348,0.46,1757.518765392132,18747.93160654386,CA-MADDPG Seed 42 best,10
950086,-213.8721970231609,0.48,1714.8272655932042,19081.957117172657,CA-MADDPG Seed 42 best,10
950087,-234.9486286516915,0.48,1902.0071426985453,24447.607584958732,CA-MADDPG Seed 42 best,10
950088,-287.74302652306613,0.41,2009.9518272378427,21728.871076714644,CA-MADDPG Seed 42 best,10
950089,-179.23106877214747,0.56,1685.3533856874546,19049.00013201044,CA-MADDPG Seed 42 best,10
950090,-267.39547531892566,0.41,2454.2230655000776,26845.533996914946,CA-MADDPG Seed 42 best,10
950091,-288.15468783591473,0.39,2034.7217531671374,25319.009535664958,CA-MADDPG Seed 42 best,10
950092,-247.21470620127002,0.45,1900.702991394211,21867.03820483087,CA-MADDPG Seed 42 best,10
950093,-267.75842372673503,0.44,2074.616678626988,25191.10325120296,CA-MADDPG Seed 42 best,10
950094,-226.54823865441543,0.47,1771.2381191875784,20315.416120055303,CA-MADDPG Seed 42 best,10
950095,-294.4934678149797,0.37,1798.9826119584568,21482.768909463062,CA-MADDPG Seed 42 best,10
950096,-313.3303500087408,0.35,1879.9027961048039,18412.936491843302,CA-MADDPG Seed 42 best,10
950097,-274.9636531153743,0.41,2636.9003258091766,28898.138450420047,CA-MADDPG Seed 42 best,10
950098,-228.5347812286114,0.49,1832.9297488872198,19161.12043409668,CA-MADDPG Seed 42 best,10
950099,-241.40323265364083,0.48,2120.6992824869403,21591.83174583431,CA-MADDPG Seed 42 best,10
950000,-256.3189045413609,0.41,1798.6699577866827,40639.28350776208,CA-MADDPG Seed 42 final,30
950001,-299.6467608327907,0.37,2826.9910810641554,40329.01747999119,CA-MADDPG Seed 42 final,30
950002,-194.1871862165184,0.49,1493.5753865330491,35641.42298530162,CA-MADDPG Seed 42 final,30
950003,-211.6335733905629,0.5,1928.196020801614,48247.87712464958,CA-MADDPG Seed 42 final,30
950004,-269.1243492653875,0.41,2214.717005439795,66330.79133459748,CA-MADDPG Seed 42 final,30
950005,-287.1856904694651,0.4,2103.8291536154625,62995.08440569737,CA-MADDPG Seed 42 final,30
950006,-268.44528303281857,0.44,2655.598143944024,76663.02466620161,CA-MADDPG Seed 42 final,30
950007,-179.88265597918632,0.53,1791.7030517763278,52065.35033795454,CA-MADDPG Seed 42 final,30
950008,-274.0786919360461,0.4,2155.7002150997378,58829.708285601664,CA-MADDPG Seed 42 final,30
950009,-214.85985691715632,0.5,2146.514357341217,64498.65498061213,CA-MADDPG Seed 42 final,30
950010,-241.92135978466715,0.46,2119.0964602208105,59408.683568007036,CA-MADDPG Seed 42 final,30
950011,-221.26290899228428,0.49,1986.6663048386688,62083.6609494632,CA-MADDPG Seed 42 final,30
950012,-249.34284791758503,0.42,2064.409872994238,57910.12591994793,CA-MADDPG Seed 42 final,30
950013,-253.36134642990768,0.43,2221.3214350710828,55779.38320047589,CA-MADDPG Seed 42 final,30
950014,-149.76542548700235,0.6,1852.3882277621951,49723.62641131885,CA-MADDPG Seed 42 final,30
950015,-264.011585602007,0.44,2237.2062171980897,57025.757726458374,CA-MADDPG Seed 42 final,30
950016,-281.39257071767724,0.4,2091.502063612977,40917.648652502365,CA-MADDPG Seed 42 final,30
950017,-302.97022909383776,0.35,2496.3619989652084,68123.7810790579,CA-MADDPG Seed 42 final,30
950018,-227.92144483848168,0.46,2072.36810903008,38185.642898960046,CA-MADDPG Seed 42 final,30
950019,-276.0059009887981,0.42,2891.299863022659,66419.9221255336,CA-MADDPG Seed 42 final,30
950020,-195.15185555150504,0.49,1399.5884723800968,34667.79978336812,CA-MADDPG Seed 42 final,30
950021,-224.2907311776091,0.47,1696.3535754845227,40353.42030175066,CA-MADDPG Seed 42 final,30
950022,-213.39145952920336,0.48,1737.9087380208439,42915.5624899033,CA-MADDPG Seed 42 final,30
950023,-232.77577757065538,0.42,2349.2245917960418,67009.2087946246,CA-MADDPG Seed 42 final,30
950024,-203.55750446239787,0.51,1962.7679210130868,46072.66110989041,CA-MADDPG Seed 42 final,30
950025,-259.0699263798081,0.41,1986.0598954835918,55961.458728464786,CA-MADDPG Seed 42 final,30
950026,-301.7308571425463,0.37,2233.0186896001846,57617.10547699893,CA-MADDPG Seed 42 final,30
950027,-289.3913440371101,0.39,2132.821581184238,44040.79471177893,CA-MADDPG Seed 42 final,30
950028,-268.0362849894939,0.4,2113.2949580799773,57196.014823242724,CA-MADDPG Seed 42 final,30
950029,-300.3095070773913,0.37,2022.5994025101236,56780.75428776582,CA-MADDPG Seed 42 final,30
