training_seed,saved_episode,test_seed,step,selected_agent,selected_cpu,selected_bandwidth,selection_probability,reward,success,latency_ms,energy_mJ
42,10,950000,0,uav_U1,0.9977278709411621,0.9850971102714539,0.9960096478462219,0.7486915137042356,1,199.82360990059098,3541.0276290736106
42,10,950000,1,uav_U1,0.9962679743766785,0.984498143196106,0.9976298809051514,1.2489078856023001,1,468.8686561637717,6420.379553832717
42,10,950000,2,uav_U1,0.9971239566802979,0.9800000190734863,0.9989423155784607,0.6315165733615307,1,1278.272735158853,29829.11208364887
42,10,950000,3,uav_U1,0.9964799880981445,0.9800000190734863,0.9982383847236633,0.5760643702705113,1,1049.4867653578458,17086.28673966681
42,10,950000,4,uav_U1,0.9968352317810059,0.9800000190734863,0.9989309906959534,-6.459960779950323,0,4922.117209233501,87683.50944214569
42,10,950000,5,uav_U1,0.9974378347396851,0.9869590997695923,0.9966177344322205,-3.6967440660285993,0,1157.163036641199,46347.920377300296
42,10,950000,6,uav_U1,0.9963158965110779,0.9800000190734863,0.9983831644058228,-7.500091270051194,0,5157.204448024047,212758.86530010027
42,10,950000,7,uav_U1,0.9968785047531128,0.9800000190734863,0.9983136653900146,-7.50009199587666,0,3179.501722538537,36060.140485737786
42,10,950000,8,uav_U1,0.9968361854553223,0.9800000190734863,0.9981911778450012,-7.500091371942912,0,4705.032082129939,194281.3941834572
42,10,950000,9,uav_U1,0.9970017671585083,0.9800000190734863,0.9986498355865479,0.5757167187353489,1,1008.2929604823283,18242.68456944457
42,10,950000,10,uav_U1,0.9975674152374268,0.9805608987808228,0.9979514479637146,1.303629396611934,1,115.80442938157431,2126.82141045997
42,10,950000,11,uav_U1,0.9968588948249817,0.9800000190734863,0.9988304972648621,-5.363048353415149,0,5574.17648764897,91295.34162477848
42,10,950000,12,uav_U1,0.9975413084030151,0.9841234683990479,0.9980523586273193,1.3303420921296703,1,290.46693455841626,6874.150931875444
42,10,950000,13,uav_U1,0.9953442215919495,0.9800000190734863,0.9983755946159363,-4.631449123115392,0,2220.874838016014,48732.42649685028
42,10,950000,14,uav_U1,0.9964549541473389,0.9800000190734863,0.9985039234161377,-7.500091433447479,0,2114.9139241737325,60027.55780781914
42,10,950000,15,uav_U1,0.9972953796386719,0.9884458780288696,0.9981014728546143,1.365317641301126,1,240.37927136596753,7555.224435629236
42,10,950000,16,uav_U1,0.9967532753944397,0.9861786961555481,0.9983866810798645,-6.4070702839252585,0,922.0466262394445,3877.71960247236
42,10,950000,17,uav_U1,0.9973587989807129,0.9849011898040771,0.9981523752212524,1.3190944438295649,1,343.1847675389006,7044.742261114801
42,10,950000,18,uav_U1,0.9966469407081604,0.9843002557754517,0.9976625442504883,-4.716718779528241,0,751.4366194739548,16954.595938696297
42,10,950000,19,uav_U1,0.997184157371521,0.9868783354759216,0.9977467656135559,1.497041272605168,1,29.541471373415188,736.5422758905822
42,10,950000,20,uav_U1,0.9971297383308411,0.9800000190734863,0.9989197850227356,-3.811340684524569,0,1684.955118123722,44783.86290423206
42,10,950000,21,uav_U1,0.9971740245819092,0.9836249947547913,0.9968557357788086,1.224916595783602,1,461.16122735412137,11463.823898350713
42,10,950000,22,uav_U1,0.9978349804878235,0.9854139089584351,0.9986990094184875,1.1817330066615543,1,465.49041929668573,10958.410908788526
42,10,950000,23,uav_U1,0.9975619316101074,0.985538125038147,0.9980499744415283,1.0392397136483924,1,704.8231401968608,22129.130718189637
42,10,950000,24,uav_U1,0.9973970651626587,0.9813460111618042,0.9981511831283569,1.2327013496313244,1,492.19507128987607,9659.995469350491
42,10,950000,25,uav_U1,0.9976186156272888,0.9800000190734863,0.9986356496810913,-3.8671616327520653,0,1833.2407284074038,39303.46508731879
42,10,950000,26,uav_U1,0.9953845739364624,0.9800000190734863,0.9991236329078674,-5.799396593774931,0,2890.1909229645694,29785.21263143103
42,10,950000,27,uav_U1,0.9971295595169067,0.9823466539382935,0.9965556263923645,-5.14410584972882,0,1255.9067815480519,36272.54351905939
42,10,950000,28,uav_U1,0.9971795082092285,0.9800000190734863,0.9987090826034546,0.6645694458981517,1,1531.175916587505,29023.919992366704
42,10,950000,29,uav_U1,0.9965025186538696,0.9854524731636047,0.9976593255996704,-3.5843601981605797,0,1480.025094389849,8604.459544947724
42,10,950000,30,uav_U1,0.9972742795944214,0.9861228466033936,0.9966038465499878,-5.074007213970791,0,733.5658826607603,11132.508039355098
42,10,950000,31,uav_U1,0.9972080588340759,0.9800000190734863,0.9988301396369934,-4.378158465386249,0,3036.8339775720106,62499.08260965705
42,10,950000,32,uav_U1,0.9975827932357788,0.9862732887268066,0.9971585273742676,-3.5119740298108666,0,1976.206530068347,77226.83054360404
42,10,950000,33,uav_U1,0.9960871934890747,0.9800000190734863,0.9987682700157166,-5.009506291502408,0,1899.627027230897,43285.869488827964
42,10,950000,34,uav_U1,0.9979128837585449,0.9845625162124634,0.9980459809303284,0.7561326466027558,1,470.8100422994036,17300.42190005844
42,10,950000,35,uav_U1,0.9974991083145142,0.9850244522094727,0.9975364208221436,0.830808152149239,1,839.0517303364736,25563.646283512084
42,10,950000,36,uav_U1,0.9969980120658875,0.9800000190734863,0.9987484216690063,-4.464760344467932,0,3750.552868445981,111124.72130716805
42,10,950000,37,uav_U1,0.9975076913833618,0.987098217010498,0.9977185726165771,0.5472454734869654,1,1664.301806920297,33757.485413302544
42,10,950000,38,uav_U1,0.9971523284912109,0.9800000190734863,0.9989508390426636,-4.304877091649544,0,2860.5840647005757,29113.818855206482
42,10,950000,39,uav_U1,0.9971681833267212,0.9800000190734863,0.9984807372093201,0.8176828141692991,1,1049.9450690165606,23926.74358487513
42,10,950000,40,uav_U1,0.99598228931427,0.9800000190734863,0.9991673231124878,-7.500092012791227,0,4005.3690508666123,36819.83173769811
42,10,950000,41,uav_U1,0.9975312948226929,0.9837583303451538,0.9977920651435852,1.154370323122373,1,337.2452125923103,12220.23885288303
42,10,950000,42,uav_U1,0.9979414343833923,0.9822853803634644,0.9977845549583435,0.6762905251551989,1,650.6580709928747,21220.280195665175
