test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,method
950000,-233.15608141115638,0.46,1511.1910825731266,33666.785495751006,CA-MADDPG-V2.2 three-seed mean
950001,-250.08047182154107,0.4366666666666667,1584.8444816306394,31604.418445121162,CA-MADDPG-V2.2 three-seed mean
950002,-186.9793397993548,0.5033333333333333,1328.4463538253092,27652.004770522228,CA-MADDPG-V2.2 three-seed mean
950003,-204.07350652151158,0.5233333333333333,1664.1361072328061,33224.72771399756,CA-MADDPG-V2.2 three-seed mean
950004,-212.49277557800428,0.51,1745.2301151150966,41655.550091095145,CA-MADDPG-V2.2 three-seed mean
950005,-253.72932538212763,0.4633333333333334,1786.4596528049108,45470.57480111128,CA-MADDPG-V2.2 three-seed mean
950006,-220.01714285229662,0.51,1838.73980362621,46780.99669368812,CA-MADDPG-V2.2 three-seed mean
950007,-130.2346623555761,0.61,1356.0340199896752,30777.762614481602,CA-MADDPG-V2.2 three-seed mean
950008,-262.6802786959811,0.42,1932.8715037241175,45621.0098346526,CA-MADDPG-V2.2 three-seed mean
950009,-184.67652070000133,0.54,1688.855707746333,40501.552691121324,CA-MADDPG-V2.2 three-seed mean
950010,-180.17255466169092,0.5633333333333334,1499.051371886173,35442.85553228415,CA-MADDPG-V2.2 three-seed mean
950011,-178.88292531258298,0.5566666666666668,1612.9865450888883,41773.9053035482,CA-MADDPG-V2.2 three-seed mean
950012,-243.69241503788794,0.44,1712.7777856629473,38374.46009561199,CA-MADDPG-V2.2 three-seed mean
950013,-213.46654543783688,0.4766666666666666,1576.2327930378804,34793.137020457936,CA-MADDPG-V2.2 three-seed mean
950014,-144.81052735677204,0.6166666666666667,1545.4155013175866,34794.43312984935,CA-MADDPG-V2.2 three-seed mean
950015,-219.76624089977065,0.51,1672.4442042428927,40467.3284169289,CA-MADDPG-V2.2 three-seed mean
950016,-237.12426513429173,0.4566666666666667,1579.2646534948917,31558.69431676758,CA-MADDPG-V2.2 three-seed mean
950017,-255.06613187473488,0.43,1982.650072557549,44575.0232842681,CA-MADDPG-V2.2 three-seed mean
950018,-201.41835285327525,0.5066666666666667,1433.956154151423,30837.20679011762,CA-MADDPG-V2.2 three-seed mean
950019,-206.50338148569736,0.52,1735.313478677818,41920.299749697144,CA-MADDPG-V2.2 three-seed mean
950020,-179.32081664635166,0.52,1307.0201979696042,29474.150520533472,CA-MADDPG-V2.2 three-seed mean
950021,-185.7082381937945,0.5333333333333333,1470.769067204118,31965.341180396495,CA-MADDPG-V2.2 three-seed mean
950022,-188.25450646180033,0.5366666666666667,1512.4493564440115,30115.473905589544,CA-MADDPG-V2.2 three-seed mean
950023,-206.841480967822,0.49,2018.1646529551247,48147.95673303732,CA-MADDPG-V2.2 three-seed mean
950024,-191.7873974121887,0.5333333333333333,1580.9637214381703,33304.223357377894,CA-MADDPG-V2.2 three-seed mean
