training_seed,saved_episode,test_seed,method,reward,success_rate,mean_latency_ms,mean_energy_mJ
42,10,950000,CA-MADDPG-V2.2 Seed 42,-233.28843859325622,0.46,1513.0782561265846,34473.36816952168
42,10,950001,CA-MADDPG-V2.2 Seed 42,-249.19222532646882,0.44,1586.3745644985952,32384.04413183258
42,10,950002,CA-MADDPG-V2.2 Seed 42,-188.6861558013081,0.5,1329.448863625593,28347.159441292366
42,10,950003,CA-MADDPG-V2.2 Seed 42,-206.6120174208381,0.52,1664.6804492798228,33944.496172607054
42,10,950004,CA-MADDPG-V2.2 Seed 42,-212.90586128664637,0.51,1752.25515846255,42898.23886136604
42,10,950005,CA-MADDPG-V2.2 Seed 42,-255.64892092406777,0.46,1790.5549536431458,46688.48948865347
42,10,950006,CA-MADDPG-V2.2 Seed 42,-220.76634910151267,0.51,1846.3471548703951,48123.456785694754
42,10,950007,CA-MADDPG-V2.2 Seed 42,-131.33849319077837,0.61,1358.1184765616113,31599.68195376308
42,10,950008,CA-MADDPG-V2.2 Seed 42,-262.70123269666755,0.42,1927.471835212693,46198.60697451812
42,10,950009,CA-MADDPG-V2.2 Seed 42,-185.87368153107576,0.54,1694.982793266086,41602.70130364841
42,10,950010,CA-MADDPG-V2.2 Seed 42,-182.76576788472832,0.56,1500.986272455038,36255.19865401823
42,10,950011,CA-MADDPG-V2.2 Seed 42,-178.3118059565137,0.56,1615.0371372971622,42750.873618841724
42,10,950012,CA-MADDPG-V2.2 Seed 42,-244.47856807795716,0.44,1715.2489774188757,39232.93222710225
42,10,950013,CA-MADDPG-V2.2 Seed 42,-213.0505056084983,0.48,1579.2122857401462,35726.60840624204
42,10,950014,CA-MADDPG-V2.2 Seed 42,-143.47343323979308,0.62,1544.7313572746123,35478.37034557056
42,10,950015,CA-MADDPG-V2.2 Seed 42,-220.64152935037473,0.51,1680.0250563836391,41684.397421457164
42,10,950016,CA-MADDPG-V2.2 Seed 42,-236.5026132141482,0.46,1580.5904760808799,32321.25467335968
42,10,950017,CA-MADDPG-V2.2 Seed 42,-256.09289408836423,0.43,1986.8142151942084,45793.645250765134
42,10,950018,CA-MADDPG-V2.2 Seed 42,-200.21938541310922,0.51,1433.6494088023985,31498.67106033972
42,10,950019,CA-MADDPG-V2.2 Seed 42,-206.96561500070186,0.52,1737.9567162263866,42893.59820753858
42,10,950020,CA-MADDPG-V2.2 Seed 42,-183.23435959544125,0.51,1307.0821683905783,30140.057099963808
42,10,950021,CA-MADDPG-V2.2 Seed 42,-187.17229162362563,0.53,1472.1871807691653,32754.20135969913
42,10,950022,CA-MADDPG-V2.2 Seed 42,-186.8189591195499,0.54,1511.8411726924346,30725.84314995958
42,10,950023,CA-MADDPG-V2.2 Seed 42,-207.08117277750614,0.49,2024.1527491706763,49239.566218662905
42,10,950024,CA-MADDPG-V2.2 Seed 42,-194.37861115033277,0.53,1581.7484094066087,34026.66973899357
42,10,950025,CA-MADDPG-V2.2 Seed 42,-241.93113451749682,0.46,1740.492570443421,42533.252628208946
42,10,950026,CA-MADDPG-V2.2 Seed 42,-260.59848872707056,0.45,1856.5758501259572,46793.68881791084
42,10,950027,CA-MADDPG-V2.2 Seed 42,-242.41914087816605,0.46,1629.5361873767613,33725.08668798863
42,10,950028,CA-MADDPG-V2.2 Seed 42,-241.8000254128005,0.45,1865.0653895503679,44238.16575468358
42,10,950029,CA-MADDPG-V2.2 Seed 42,-267.38355863867037,0.44,1723.1037039405512,40988.87086986527
42,10,950030,CA-MADDPG-V2.2 Seed 42,-221.91384863076806,0.47,1533.1746765809655,37850.07212101437
42,10,950031,CA-MADDPG-V2.2 Seed 42,-254.43291559131305,0.46,1743.1959019625262,41297.980144032466
42,10,950032,CA-MADDPG-V2.2 Seed 42,-246.51128723944856,0.44,1600.1040120590842,32155.641713364344
42,10,950033,CA-MADDPG-V2.2 Seed 42,-214.01245954824026,0.5,1778.7072001858576,40848.57568505648
42,10,950034,CA-MADDPG-V2.2 Seed 42,-229.13456421224,0.49,1765.6707051023864,45338.02918703852
42,10,950035,CA-MADDPG-V2.2 Seed 42,-224.45390434384956,0.49,1731.0782338511406,41634.93008529394
42,10,950036,CA-MADDPG-V2.2 Seed 42,-227.24636788372732,0.49,1703.1904019843348,39315.48244852184
42,10,950037,CA-MADDPG-V2.2 Seed 42,-230.57210633175563,0.47,1776.9001663134095,42781.27618090151
42,10,950038,CA-MADDPG-V2.2 Seed 42,-158.16728222994243,0.58,1356.713862319129,32146.523040284563
42,10,950039,CA-MADDPG-V2.2 Seed 42,-187.99762568217744,0.51,1495.4673738354145,32619.59465075276
42,10,950040,CA-MADDPG-V2.2 Seed 42,-156.89144784088882,0.57,1512.4567452388924,32294.824162576628
42,10,950041,CA-MADDPG-V2.2 Seed 42,-255.74182175139842,0.43,1886.34689050597,43965.198839900746
42,10,950042,CA-MADDPG-V2.2 Seed 42,-213.80358945703057,0.5,1689.2647187913408,39328.781591202234
42,10,950043,CA-MADDPG-V2.2 Seed 42,-164.55451912847442,0.56,1627.7935028497036,36617.340537464814
42,10,950044,CA-MADDPG-V2.2 Seed 42,-179.2481104245738,0.54,1441.007519998197,33197.807273379134
42,10,950045,CA-MADDPG-V2.2 Seed 42,-215.4749279964616,0.49,1618.1831610253869,41886.77008778513
42,10,950046,CA-MADDPG-V2.2 Seed 42,-219.59784502562897,0.49,1653.1806707497194,39149.86345078905
