method,saved_episode,test_seed,step,selected_agent,selected_cpu_fraction,selected_bandwidth_fraction,selection_entropy_normalised,selection_gap,reward,success,latency_ms,energy_mJ
CA-MADDPG-V2 Seed 42 best,10,950000,0,uav_U1,0.9977278709411621,0.9850971102714539,0.01363674267275805,0.9935342669487,0.7486915137042356,1,199.82360990059098,3541.0276290736106
CA-MADDPG-V2 Seed 42 best,10,950000,1,uav_U1,0.9962679743766785,0.984498143196106,0.008895956503660851,0.9964316487312317,1.2489078856023001,1,468.8686561637717,6420.379553832717
CA-MADDPG-V2 Seed 42 best,10,950000,2,uav_U1,0.9971239566802979,0.9735658168792725,0.00441111461059897,0.9985271096229553,0.6284721518290657,1,1282.7541213293669,29829.626367525798
CA-MADDPG-V2 Seed 42 best,10,950000,3,uav_U1,0.9964799880981445,0.9765031337738037,0.006833458002291548,0.9973524212837219,0.573840222672664,1,1052.0133954819323,17086.54064072798
CA-MADDPG-V2 Seed 42 best,10,950000,4,uav_U1,0.9968352317810059,0.9651811122894287,0.004407204211509365,0.9984578490257263,-6.498989310077542,0,4970.629664260716,87689.5996957498
CA-MADDPG-V2 Seed 42 best,10,950000,5,uav_U1,0.9974378347396851,0.9869590997695923,0.01197976080813321,0.9947108626365662,-3.6967440660285993,0,1157.163036641199,46347.920377300296
CA-MADDPG-V2 Seed 42 best,10,950000,6,uav_U1,0.9963158965110779,0.9727938175201416,0.0063450395296553875,0.9975962042808533,-7.500091270305012,0,5163.547428509367,212759.45697331993
CA-MADDPG-V2 Seed 42 best,10,950000,7,uav_U1,0.9968785047531128,0.9752084016799927,0.006521101729791043,0.997397780418396,-7.500091999104884,0,3191.572554233224,36061.40587102434
CA-MADDPG-V2 Seed 42 best,10,950000,8,uav_U1,0.9968361854553223,0.9698514938354492,0.006970404481951756,0.997260570526123,-7.500091372370281,0,4713.236305148443,194282.30288319872
CA-MADDPG-V2 Seed 42 best,10,950000,9,uav_U1,0.9970017671585083,0.9757059812545776,0.005454315898219682,0.9980627298355103,0.5731281919694096,1,1011.1170413177841,18243.024673499585
CA-MADDPG-V2 Seed 42 best,10,950000,10,uav_U1,0.9975674152374268,0.9805608987808228,0.007819651916175674,0.9969508647918701,1.303629396611934,1,115.80442938157431,2126.82141045997
CA-MADDPG-V2 Seed 42 best,10,950000,11,uav_U1,0.9968588948249817,0.9666934609413147,0.004753895794179148,0.9982569217681885,-5.389485999200956,0,5625.650572614472,91301.15665215703
CA-MADDPG-V2 Seed 42 best,10,950000,12,uav_U1,0.9975413084030151,0.9841234683990479,0.007436421480283222,0.9970253109931946,1.3303420921296703,1,290.46693455841626,6874.150931875444
CA-MADDPG-V2 Seed 42 best,10,950000,13,uav_U1,0.9953442215919495,0.9724560976028442,0.006381508005401681,0.9975959062576294,-4.64064543260943,0,2230.457390445884,48733.4830690812
CA-MADDPG-V2 Seed 42 best,10,950000,14,uav_U1,0.9964549541473389,0.9687967300415039,0.005966477061894208,0.9978415966033936,-7.500091435438712,0,2125.3654533432764,60028.865085087666
CA-MADDPG-V2 Seed 42 best,10,950000,15,uav_U1,0.9972953796386719,0.9884458780288696,0.007411219063312463,0.9972717761993408,1.365317641301126,1,240.37927136596753,7555.224435629236
CA-MADDPG-V2 Seed 42 best,10,950000,16,uav_U1,0.9967532753944397,0.9861786961555481,0.0064300712953780596,0.9977048635482788,-6.4070702839252585,0,922.0466262394445,3877.71960247236
CA-MADDPG-V2 Seed 42 best,10,950000,17,uav_U1,0.9973587989807129,0.9849011898040771,0.00709977122651275,0.9971824884414673,1.3190944438295649,1,343.1847675389006,7044.742261114801
CA-MADDPG-V2 Seed 42 best,10,950000,18,uav_U1,0.9966469407081604,0.9843002557754517,0.00879008289322487,0.9964936375617981,-4.716718779528241,0,751.4366194739548,16954.595938696297
CA-MADDPG-V2 Seed 42 best,10,950000,19,uav_U1,0.997184157371521,0.9868783354759216,0.008460179978884765,0.9965418577194214,1.497041272605168,1,29.541471373415188,736.5422758905822
CA-MADDPG-V2 Seed 42 best,10,950000,20,uav_U1,0.9971297383308411,0.9755522608757019,0.004501834008923838,0.9985122680664062,-3.814119863698828,0,1688.526362305391,44784.26531202645
CA-MADDPG-V2 Seed 42 best,10,950000,21,uav_U1,0.9971740245819092,0.9836249947547913,0.01121452304835151,0.9950531125068665,1.224916595783602,1,461.16122735412137,11463.823898350713
CA-MADDPG-V2 Seed 42 best,10,950000,22,uav_U1,0.9978349804878235,0.9854139089584351,0.005309973716516298,0.9981580972671509,1.1817330066615543,1,465.49041929668573,10958.410908788526
CA-MADDPG-V2 Seed 42 best,10,950000,23,uav_U1,0.9975619316101074,0.985538125038147,0.007507705774485767,0.9970865249633789,1.0392397136483924,1,704.8231401968608,22129.130718189637
CA-MADDPG-V2 Seed 42 best,10,950000,24,uav_U1,0.9973970651626587,0.9813460111618042,0.007107861400549809,0.9971782565116882,1.2327013496313244,1,492.19507128987607,9659.995469350491
CA-MADDPG-V2 Seed 42 best,10,950000,25,uav_U1,0.9976186156272888,0.976751446723938,0.005444608660099023,0.9979467988014221,-3.8697504382134857,0,1836.7123153545788,39303.84099075343
CA-MADDPG-V2 Seed 42 best,10,950000,26,uav_U1,0.9953845739364624,0.9654046297073364,0.003727720597753816,0.9988303780555725,-5.8389454945717665,0,2924.8357491776305,29789.24043892656
CA-MADDPG-V2 Seed 42 best,10,950000,27,uav_U1,0.9971295595169067,0.9823466539382935,0.012052226149640435,0.994503915309906,-5.14410584972882,0,1255.9067815480519,36272.54351905939
CA-MADDPG-V2 Seed 42 best,10,950000,28,uav_U1,0.9971795082092285,0.964257001876831,0.005246945023867118,0.9981655478477478,0.6561218815256873,1,1546.6602896113916,29026.070771779723
CA-MADDPG-V2 Seed 42 best,10,950000,29,uav_U1,0.9965025186538696,0.9854524731636047,0.008750837338439559,0.9964245557785034,-3.5843601981605797,0,1480.025094389849,8604.459544947724
CA-MADDPG-V2 Seed 42 best,10,950000,30,uav_U1,0.9972742795944214,0.9861228466033936,0.011880870746588532,0.9945112466812134,-5.074007213970791,0,733.5658826607603,11132.508039355098
CA-MADDPG-V2 Seed 42 best,10,950000,31,uav_U1,0.9972080588340759,0.9629659652709961,0.00478731741056032,0.9983148574829102,-4.397634108732927,0,3068.3260845787063,62502.5750843241
CA-MADDPG-V2 Seed 42 best,10,950000,32,uav_U1,0.9975827932357788,0.9862732887268066,0.010331840650294005,0.9956127405166626,-3.5119740298108666,0,1976.206530068347,77226.83054360404
CA-MADDPG-V2 Seed 42 best,10,950000,33,uav_U1,0.9960871934890747,0.972230076789856,0.005019734577137203,0.9982393980026245,-5.020340392129586,0,1907.8284397941118,43286.87703236136
