test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,training_seed,saved_episode
950000,-232.07552588994835,0.46,1495.7540501844308,34684.82710812998,42,30
950001,-247.5615150781671,0.44,1568.037920216736,32559.805118404565,42,30
950002,-187.5389232807201,0.5,1314.9555888329514,28504.30695591513,42,30
950003,-205.31637304558816,0.52,1644.0817522864425,34162.211455668155,42,30
950004,-211.9734751792743,0.51,1734.3125745725893,43135.420357529685,42,30
950005,-254.50364116395525,0.46,1773.8011856030762,46941.71304722796,42,30
950006,-219.7840986761959,0.51,1828.177604576373,48372.3949165699,42,30
950007,-130.25236523251775,0.61,1344.3566607100884,31762.153498484986,42,30
950008,-261.47530183963596,0.42,1904.4430088182012,46664.53734658582,42,30
950009,-184.88041442493238,0.54,1677.6828078044157,41883.41883249262,42,30
950010,-177.58220023859715,0.57,1484.9336934758537,36461.13736214011,42,30
950011,-177.21617714088916,0.56,1598.7478761077343,42996.53472136003,42,30
950012,-238.94399566845036,0.45,1694.1428077413975,39579.88649570066,42,30
950013,-211.91246172336025,0.48,1562.2633713708074,35896.87828564568,42,30
950014,-142.45449787642428,0.62,1525.969035540439,35768.043160276604,42,30
950015,-219.4401603151388,0.51,1662.7769801107167,41899.78085876438,42,30
950016,-235.04983921830723,0.46,1562.5211430343666,32494.56033678409,42,30
950017,-255.05961868524815,0.43,1965.5508665309922,46043.67457798479,42,30
950018,-198.88533169398036,0.51,1416.7252315258831,31703.844925891237,42,30
950019,-205.69971238546523,0.52,1720.1838017783314,43172.878507976646,42,30
950020,-181.96913406837893,0.51,1293.0367629786117,30315.033845752747,42,30
950021,-186.07446030066853,0.53,1456.249936960916,32938.967279002434,42,30
950022,-181.56919510654356,0.55,1492.8265778679922,30947.048165166107,42,30
950023,-205.86682911154512,0.49,1999.0544549650792,49789.10924821886,42,30
950024,-193.18187121759829,0.53,1562.7852987430074,34244.30415047619,42,30
950025,-240.49912614052172,0.46,1720.1656680051979,42902.62526348216,42,30
950026,-259.41897397296077,0.45,1838.5517134814977,47047.41204160772,42,30
950027,-240.951600594394,0.46,1610.8688499785408,33905.726787206986,42,30
950028,-240.4578303885579,0.45,1844.112728492039,44541.874898471804,42,30
