test_seed,selected_uav,resource_level,reward,success_rate,mean_latency_ms,mean_energy_mJ
950000,uav_U1,0.75,-304.09950728250817,0.37,1994.3386444416146,19579.00080077326
950001,uav_U1,0.75,-334.258845381683,0.32,2090.7170947049667,18393.245158401845
950002,uav_U1,0.75,-237.40210157429507,0.46,1753.2740158210363,16097.885670030904
950003,uav_U1,0.75,-268.1510966348516,0.44,2192.108573138023,19297.520513911415
950004,uav_U1,0.75,-282.5899032950148,0.41,2312.4166724722286,24338.029144488286
950005,uav_U1,0.75,-307.04990180695637,0.41,2365.068158384164,26476.21332224246
950006,uav_U1,0.75,-291.570728811859,0.41,2437.5700006356624,27283.719299575514
950007,uav_U1,0.75,-203.78087942410068,0.51,1792.4753880034891,17926.728472172857
950008,uav_U1,0.75,-312.19786558732284,0.37,2539.2571712735826,26329.527072869576
950009,uav_U1,0.75,-243.6024878636065,0.48,2236.910292719672,23630.21240497406
950010,uav_U1,0.75,-245.9997346145592,0.48,1979.9114024736034,20574.99436528613
950011,uav_U1,0.75,-258.66364151112776,0.44,2131.663653118198,24250.318518696076
950012,uav_U1,0.75,-301.3585663635002,0.39,2258.85677181811,22342.3529875722
950013,uav_U1,0.75,-280.3694729927935,0.4,2083.01771217562,20264.392407609175
950014,uav_U1,0.75,-189.9275896630965,0.57,2034.6251362869746,20188.415682068913
950015,uav_U1,0.75,-284.5164352840831,0.43,2217.0358221580555,23639.594569428547
950016,uav_U1,0.75,-323.0703053925196,0.33,2083.361409090203,18356.382601127607
950017,uav_U1,0.75,-328.3832474585846,0.33,2620.7343620901393,25988.182162688714
950018,uav_U1,0.75,-276.6178068607438,0.4,1888.9667565031716,17898.905669157968
950019,uav_U1,0.75,-278.1700594048853,0.44,2293.578310984323,24357.572289032207
950020,uav_U1,0.75,-241.5197834353525,0.45,1724.0489551259066,17111.004181714714
950021,uav_U1,0.75,-246.8245047586881,0.46,1941.666482172368,18596.793267513982
950022,uav_U1,0.75,-276.8884670935776,0.39,1990.4352452786366,17481.462780713508
950023,uav_U1,0.75,-287.751599204976,0.37,2665.405721832818,28091.41074406818
950024,uav_U1,0.75,-255.89719338324662,0.45,2083.713384405403,19336.473468352386
950025,uav_U1,0.75,-310.80164692764805,0.37,2293.5539211329206,24205.45400432169
950026,uav_U1,0.75,-320.27042019457923,0.38,2451.4022046461637,26541.46586677289
950027,uav_U1,0.75,-329.1068290453654,0.33,2147.8249939714956,19152.02824459725
950028,uav_U1,0.75,-329.5629786127599,0.32,2458.816843621151,25135.493616151758
950029,uav_U1,0.75,-330.96919279567925,0.37,2272.814207324757,23254.174469983023
950000,uav_U2,0.75,-353.61011390443116,0.29,2259.89447232778,25181.125346619814
950001,uav_U2,0.75,-358.2319382945827,0.3,2339.8650891122975,23649.25099892651
950002,uav_U2,0.75,-268.0359953741989,0.42,1971.4312961135718,20700.148165799234
950003,uav_U2,0.75,-295.50455634906376,0.4,2453.527072485116,24812.395211592353
950004,uav_U2,0.75,-303.2348936760076,0.4,2642.789710832872,31307.403380942982
950005,uav_U2,0.75,-340.03154843397573,0.36,2724.6885255248117,34062.54728394582
950006,uav_U2,0.75,-306.6382330908406,0.41,2808.1459117103404,35101.149407953155
950007,uav_U2,0.75,-229.96144317679614,0.48,2035.680488387007,23057.316671294222
950008,uav_U2,0.75,-329.2425483275338,0.36,2896.6585957412644,33869.040050716016
950009,uav_U2,0.75,-270.3830308551955,0.45,2557.7096559531537,30397.59720182828
950010,uav_U2,0.75,-276.55411992749805,0.44,2259.138517079421,26465.429278032632
950011,uav_U2,0.75,-295.1573851387635,0.39,2461.0692757940888,31199.218134734823
950012,uav_U2,0.75,-335.8826946273414,0.34,2561.890046884724,28735.068493783456
950013,uav_U2,0.75,-322.00332088586157,0.34,2357.8409909874654,26062.02767761243
950014,uav_U2,0.75,-230.1001043135368,0.5,2308.4971669635,25965.926284938338
950015,uav_U2,0.75,-319.3372121487914,0.38,2537.9572180388527,30409.59143331503
950016,uav_U2,0.75,-347.44377567310033,0.31,2332.0109902736954,23601.857415396353
950017,uav_U2,0.75,-348.2756878939957,0.32,2973.2876260585986,33425.4992809205
950018,uav_U2,0.75,-290.4556144708788,0.4,2131.673824112209,23019.00710125879
950019,uav_U2,0.75,-310.01441400872136,0.4,2624.2543580582264,31333.332982968757
950020,uav_U2,0.75,-281.6765397616136,0.39,1956.1633206836937,22007.61873540239
950021,uav_U2,0.75,-261.77082841798546,0.46,2193.8238862556236,23916.241799068284
950022,uav_U2,0.75,-298.55955709151783,0.37,2227.2476699815015,22477.279953598616
950023,uav_U2,0.75,-308.32776848985674,0.36,3046.7530835019875,36135.98623813181
950024,uav_U2,0.75,-283.84355208065284,0.41,2345.8342863370776,24866.158426269023
950025,uav_U2,0.75,-348.7984115122294,0.31,2622.1558246762684,31137.47462637082
950026,uav_U2,0.75,-352.9989228899747,0.33,2811.775073028777,34143.69793428342
950027,uav_U2,0.75,-353.1685210676576,0.31,2407.289149888814,24625.624245321233
950028,uav_U2,0.75,-356.8339394894633,0.29,2799.9215502725124,32331.28700854495
950029,uav_U2,0.75,-365.8969196220306,0.32,2588.3865720962885,29911.33617696677
950000,uav_U3,0.75,-295.82531836240946,0.38,1931.2920040109557,18246.138674044145
950001,uav_U3,0.75,-318.38143886635453,0.35,2031.5703759470669,17142.732313276578
950002,uav_U3,0.75,-225.79525704397753,0.48,1701.4927067103508,15002.913071878369
950003,uav_U3,0.75,-265.0916617499184,0.44,2130.051630111078,17985.41767811709
950004,uav_U3,0.75,-278.47665313675833,0.41,2233.951334731829,22679.86659267773
950005,uav_U3,0.75,-299.7856722823515,0.42,2279.6499962645275,24671.262031358467
950006,uav_U3,0.75,-283.6623682329221,0.42,2349.545902617731,25423.784934364343
950007,uav_U3,0.75,-195.96064052281758,0.52,1734.7280883377234,16706.05368238323
950008,uav_U3,0.75,-304.9456836086703,0.38,2454.363235752389,24535.714689385495
950009,uav_U3,0.75,-239.45424695399365,0.48,2160.7118569205545,22020.10628661921
950010,uav_U3,0.75,-242.4560746109198,0.48,1913.5954244522218,19173.534742856355
950011,uav_U3,0.75,-242.645651075746,0.47,2053.4118992949084,22597.025590628713
950012,uav_U3,0.75,-293.365479739013,0.4,2186.9058031982395,20821.39240453515
950013,uav_U3,0.75,-267.95191732351606,0.42,2017.772316876837,18885.01442854271
950014,uav_U3,0.75,-186.89766826971714,0.57,1969.5916429253398,18813.824197288144
950015,uav_U3,0.75,-280.7308611218763,0.43,2140.817604959323,22028.868487007934
950016,uav_U3,0.75,-307.03872095298146,0.36,2024.3289815868948,17108.37473485193
950017,uav_U3,0.75,-324.3856625450449,0.33,2537.010974999484,24218.686919810156
950018,uav_U3,0.75,-269.0511595409707,0.41,1831.3424756998388,16680.726374366048
950019,uav_U3,0.75,-269.56793040872185,0.45,2215.039611824085,22697.889690631175
950020,uav_U3,0.75,-233.52529444686638,0.46,1668.9334912826992,15945.996714858124
950021,uav_U3,0.75,-243.04813389223156,0.46,1881.7947467099405,17331.18501157028
950022,uav_U3,0.75,-269.493834228748,0.4,1934.22703392643,16292.855242841177
950023,uav_U3,0.75,-275.5561503376565,0.39,2574.8030436287004,26177.431184619345
950024,uav_U3,0.75,-252.69670738357055,0.45,2021.487851054635,18020.84672215937
950025,uav_U3,0.75,-303.42981085190723,0.38,2215.5114877286414,22556.17864317618
950026,uav_U3,0.75,-313.0666683401734,0.39,2365.81110248268,24732.732883777713
950027,uav_U3,0.75,-313.14908495282214,0.36,2086.2198316114186,17849.745070732508
950028,uav_U3,0.75,-321.6521097708105,0.33,2377.8098504222908,23423.461428991654
950029,uav_U3,0.75,-327.1598446449517,0.37,2197.86766229378,21670.294263108473
950000,uav_U4,0.75,-396.9359845318438,0.27,2874.503409355157,38144.312782500805
950001,uav_U4,0.75,-425.9701932259953,0.21,2916.5032830928562,35811.52808721909
950002,uav_U4,0.75,-309.88318034310976,0.39,2476.3506915713547,31349.679140284257
950003,uav_U4,0.75,-361.15608571158623,0.3,3058.5670415889927,37573.68915275806
950004,uav_U4,0.75,-367.19098412242124,0.32,3407.3865379515205,47434.372312200685
950005,uav_U4,0.75,-393.6945582627874,0.29,3556.9680531128524,51617.14580704996
950006,uav_U4,0.75,-362.28649105419396,0.34,3665.776860194337,53190.498672741094
950007,uav_U4,0.75,-298.1586367595958,0.38,2598.5541435684054,34929.37897158081
950008,uav_U4,0.75,-367.85178012349286,0.33,3723.800268977118,51315.295204715134
950009,uav_U4,0.75,-340.7165226098018,0.35,3300.143617792772,46057.166275042255
950010,uav_U4,0.75,-324.27185322177377,0.39,2905.367794223543,40095.75810992325
950011,uav_U4,0.75,-343.9459534504907,0.35,3223.4128832874408,47278.80775086017
950012,uav_U4,0.75,-393.7500964859758,0.27,3263.231827463915,43527.664888955
950013,uav_U4,0.75,-376.9323661477844,0.28,2993.900039153176,39477.622631082355
950014,uav_U4,0.75,-294.62455716678824,0.4,2942.342317926621,39334.95182341784
