seed,method,reward,success_rate,latency_ms,energy_mJ
930000,Random allocation,-297.99933305933075,0.37,2458.103589778093,82970.12171208185
930000,Latency heuristic,-227.5318164581401,0.48,1450.250180390519,32572.23254014189
930000,MADDPG,-234.7056355696269,0.47,1497.9097298864376,34960.65157252596
930001,Random allocation,-316.68459681537337,0.33,2494.9768695954403,78867.78674838414
930001,Latency heuristic,-246.9623252551756,0.46,1622.451474773382,35236.50460814032
930001,MADDPG,-254.248567402243,0.45,1674.0169082870257,37820.065678171595
930002,Random allocation,-319.2804913027236,0.31,2994.3897726403643,109566.45253692131
930002,Latency heuristic,-234.52465727282507,0.45,1596.155050075781,39649.66788706042
930002,MADDPG,-246.98978035291807,0.43,1654.2122905066292,42558.414313676105
930003,Random allocation,-284.7606493715137,0.36,2998.5312772500824,106076.91323451891
930003,Latency heuristic,-230.8221392425134,0.46,1723.3228449651754,42311.43821328433
930003,MADDPG,-234.57488378642688,0.46,1785.2932886544922,45415.320604826964
930004,Random allocation,-301.3201147143599,0.35,3142.1647001569763,105958.65966707726
930004,Latency heuristic,-253.4329011935824,0.44,1940.1745316558763,45854.14999693116
930004,MADDPG,-257.5258189904193,0.44,2007.3236258175177,49217.513963778176
930005,Random allocation,-208.9841874752658,0.45,2380.7540572476396,78505.9393529908
930005,Latency heuristic,-139.907918569975,0.62,1477.193732194005,33324.314561462816
930005,MADDPG,-142.45449787642428,0.62,1525.969035540439,35768.043160276604
930006,Random allocation,-259.25061852981116,0.39,2367.5229616620454,70332.49991633931
930006,Latency heuristic,-210.99661677210239,0.49,1552.1708059934615,29560.172937772968
930006,MADDPG,-214.13063325457873,0.49,1595.3749631667688,31725.77638641509
930007,Random allocation,-275.69938041685646,0.35,2455.522217711025,71983.80348031498
930007,Latency heuristic,-213.89588750920032,0.51,1722.6759975027567,35337.12563993609
930007,MADDPG,-220.95726816839553,0.5,1774.3743644598542,37927.276105356745
930008,Random allocation,-289.32728236919405,0.36,2775.416299871842,85721.42223875312
930008,Latency heuristic,-220.33754435740823,0.47,1765.1594288507506,35203.40474386329
930008,MADDPG,-224.10675411512815,0.47,1816.6411908925757,37783.35629723813
930009,Random allocation,-299.59622876136393,0.34,3487.0991626532254,122643.54046542398
930009,Latency heuristic,-221.3531930859241,0.5,2030.2183126862008,49794.397732434496
930009,MADDPG,-228.9151689098391,0.49,2103.1702875203882,53447.54696904214
930010,Random allocation,-256.5080498099824,0.4,2586.3160611095286,87932.29100645741
930010,Latency heuristic,-210.02836761415938,0.51,1617.3461022414258,39479.44416224002
930010,MADDPG,-217.25868345565587,0.5,1675.1566639137718,42375.4518294665
930011,Random allocation,-275.1797178087505,0.37,2432.579944292799,78283.86609129616
930011,Latency heuristic,-191.08302292388467,0.53,1632.5961330241466,38279.81156016715
930011,MADDPG,-202.37737824403484,0.51,1688.6433528070106,41087.38301195249
930012,Random allocation,-247.2474397342224,0.42,2424.9095858697074,74482.45889702214
930012,Latency heuristic,-208.23993161666777,0.5,1525.670682418782,29515.772331999786
930012,MADDPG,-211.3402351430854,0.5,1568.8143734799128,31678.24075332099
930013,Random allocation,-284.8561842198017,0.35,3232.3896508830103,111119.99517040675
930013,Latency heuristic,-214.23705859391345,0.49,1899.5548136225004,44473.88157426962
930013,MADDPG,-226.1268018653396,0.47,1964.6894003339112,47735.833244200454
930014,Random allocation,-284.33110566846574,0.36,2247.7065204722685,73435.91479088183
930014,Latency heuristic,-224.7596813107468,0.48,1423.0669946340702,32199.264792395257
930014,MADDPG,-232.11240037284625,0.47,1470.1891769902252,34560.42381907077
930015,Random allocation,-231.73564045680902,0.46,2541.67083119274,88973.16362668914
930015,Latency heuristic,-187.4193530763479,0.57,1466.0306195528817,35187.093106518994
930015,MADDPG,-198.22709365707104,0.55,1517.55424330181,37768.17972515056
930016,Random allocation,-206.62215476878742,0.5,1973.7223145878315,59829.86851727683
930016,Latency heuristic,-166.85483012920525,0.55,1302.9766544283018,26287.22491254377
930016,MADDPG,-178.12750695187844,0.53,1341.4064737575798,28213.705308797726
930017,Random allocation,-241.28511385704564,0.42,2113.463851876044,62494.22807147324
930017,Latency heuristic,-180.9836779189374,0.54,1429.3995897151276,28286.10361737336
930017,MADDPG,-184.04117213247983,0.54,1470.7528131197419,30358.99648232776
930018,Random allocation,-193.38284492232498,0.51,2396.45406669543,79326.19834452184
930018,Latency heuristic,-139.54728986480617,0.62,1476.927758837459,33345.96877030311
930018,MADDPG,-142.0876194479965,0.62,1525.7348486273522,35791.293452916194
930019,Random allocation,-255.92753473614746,0.38,2047.5829879717423,60738.08690208961
930019,Latency heuristic,-189.93564723121,0.53,1370.4420860621944,26877.319961007917
930019,MADDPG,-213.26695418846177,0.48,1409.7343081640427,28846.766062048824
930020,Random allocation,-244.903288625408,0.4,2417.3236356495945,82693.83597525311
930020,Latency heuristic,-166.70878907100038,0.57,1497.5535229288946,36700.87985220683
930020,MADDPG,-179.0739016558463,0.55,1551.2986508961217,39393.2013139479
930021,Random allocation,-263.8510660294649,0.39,2418.2837125490187,75902.84140864485
930021,Latency heuristic,-209.3614819912709,0.48,1523.11610262773,31140.50348111533
930021,MADDPG,-212.8040979926606,0.48,1568.6579134369947,33422.93048555447
930022,Random allocation,-294.59063185842257,0.33,2650.0960386201023,91951.40961702565
930022,Latency heuristic,-219.88392104152337,0.48,1600.944297784596,39487.68283045391
930022,MADDPG,-232.03786342438224,0.46,1658.7621953588737,42384.49753665502
930023,Random allocation,-270.9674765463218,0.37,2439.8259073176105,85809.23124989802
930023,Latency heuristic,-203.55520630948254,0.5,1427.562840120853,35191.74028248898
930023,MADDPG,-215.1972795921482,0.48,1479.0944379123623,37773.465714104
930024,Random allocation,-295.7878325561297,0.37,2875.0780117649333,98006.1520193516
930024,Latency heuristic,-225.0003922725601,0.49,1748.1014140981915,41652.114428396664
