method,selected_uav,resource_level,test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ
Fixed uav_U3 resource 0.98,uav_U3,0.98,950000,-226.7258526985447,0.47,1478.0295661398363,31040.951229235605
Fixed uav_U3 resource 0.98,uav_U3,0.98,950001,-238.43499682269234,0.46,1554.7732166381165,29141.42719136316
Fixed uav_U3 resource 0.98,uav_U3,0.98,950002,-182.49521557401573,0.51,1302.1627604040607,25510.992010537462
Fixed uav_U3 resource 0.98,uav_U3,0.98,950003,-200.56421175602756,0.53,1630.1415219294151,30575.454815777644
Fixed uav_U3 resource 0.98,uav_U3,0.98,950004,-210.66709822211936,0.51,1709.6566004487343,38601.92330752753
Fixed uav_U3 resource 0.98,uav_U3,0.98,950005,-249.19107675282723,0.47,1744.630065226753,42006.64054369984
Fixed uav_U3 resource 0.98,uav_U3,0.98,950006,-218.17931402269602,0.51,1798.1218292518843,43287.00569704264
Fixed uav_U3 resource 0.98,uav_U3,0.98,950007,-124.93477336854262,0.62,1327.5980009503778,28424.920383907443
Fixed uav_U3 resource 0.98,uav_U3,0.98,950008,-260.4316441293345,0.42,1878.3391744773623,41760.179514634285
Fixed uav_U3 resource 0.98,uav_U3,0.98,950009,-179.67023839378322,0.55,1653.6059807656989,37481.27557664932
Fixed uav_U3 resource 0.98,uav_U3,0.98,950010,-176.28238284337203,0.57,1464.4862657207223,32629.55397784988
Fixed uav_U3 resource 0.98,uav_U3,0.98,950011,-175.8019464129638,0.56,1571.4886678545035,38476.11035794704
Fixed uav_U3 resource 0.98,uav_U3,0.98,950012,-241.63693462150133,0.44,1673.6523678329534,35421.78285739232
Fixed uav_U3 resource 0.98,uav_U3,0.98,950013,-210.42475951354123,0.48,1544.2134777592787,32125.866183809085
Fixed uav_U3 resource 0.98,uav_U3,0.98,950014,-141.5993652729143,0.62,1507.3405137181294,32010.03648862041
Fixed uav_U3 resource 0.98,uav_U3,0.98,950015,-217.70057839003047,0.51,1638.38078823455,37495.944655437284
Fixed uav_U3 resource 0.98,uav_U3,0.98,950016,-225.78685176588942,0.48,1549.2313333070697,29083.0308444688
Fixed uav_U3 resource 0.98,uav_U3,0.98,950017,-253.7940741077829,0.43,1941.5899940986963,41206.032077604614
Fixed uav_U3 resource 0.98,uav_U3,0.98,950018,-197.44486710436948,0.51,1401.5375816761953,28373.570499278183
Fixed uav_U3 resource 0.98,uav_U3,0.98,950019,-200.19873904760135,0.53,1695.1833434030686,38635.184118761885
Fixed uav_U3 resource 0.98,uav_U3,0.98,950020,-168.93846029186682,0.54,1277.2449939801113,27130.017607218273
Fixed uav_U3 resource 0.98,uav_U3,0.98,950021,-181.01772574530625,0.54,1440.1490128201967,29479.04419322262
Fixed uav_U3 resource 0.98,uav_U3,0.98,950022,-184.6738874223604,0.54,1480.2757624600035,27697.87328568204
Fixed uav_U3 resource 0.98,uav_U3,0.98,950023,-200.29981636260516,0.5,1970.5124950377365,44556.18612301534
Fixed uav_U3 resource 0.98,uav_U3,0.98,950024,-188.4449947069797,0.54,1547.0569987583729,30647.715152287954
Fixed uav_U3 resource 0.98,uav_U3,0.98,950025,-239.47055654386108,0.46,1695.5444729148335,38393.398376677294
Fixed uav_U3 resource 0.98,uav_U3,0.98,950026,-258.1713832216925,0.45,1810.5696860491162,42102.147557634285
Fixed uav_U3 resource 0.98,uav_U3,0.98,950027,-231.6641167027757,0.48,1596.596778832548,30345.792215655427
Fixed uav_U3 resource 0.98,uav_U3,0.98,950028,-235.13013397402545,0.46,1819.752401130302,39861.19920052823
Fixed uav_U3 resource 0.98,uav_U3,0.98,950029,-260.8945393808895,0.45,1682.041545548917,36877.56793946194
Fixed uav_U3 resource 0.98,uav_U3,0.98,950030,-211.4719235772525,0.49,1495.4276443484882,34057.09665311453
Fixed uav_U3 resource 0.98,uav_U3,0.98,950031,-247.69750133160065,0.47,1702.301027066048,37143.82864980806
Fixed uav_U3 resource 0.98,uav_U3,0.98,950032,-235.96950261754617,0.46,1568.7490475109673,28937.22135393702
Fixed uav_U3 resource 0.98,uav_U3,0.98,950033,-207.47453026032517,0.51,1736.2104090759237,36828.1843233657
Fixed uav_U3 resource 0.98,uav_U3,0.98,950034,-222.6906940540668,0.5,1718.5062807587005,40853.01900754403
Fixed uav_U3 resource 0.98,uav_U3,0.98,950035,-217.74607539401663,0.5,1689.8449537028669,37503.9651223833
Fixed uav_U3 resource 0.98,uav_U3,0.98,950036,-224.97457439914106,0.49,1664.6289579953989,35379.78620406616
Fixed uav_U3 resource 0.98,uav_U3,0.98,950037,-227.96581064096782,0.47,1731.1612906955543,38645.20494030655
Fixed uav_U3 resource 0.98,uav_U3,0.98,950038,-152.1279128557875,0.59,1326.1234039798742,28908.051062250022
Fixed uav_U3 resource 0.98,uav_U3,0.98,950039,-185.6672782499244,0.51,1464.0205335305445,29335.42768021964
